text,time,impressions,engagements,engagement_rate,retweets,replies,likes,user_profile_clicks,url_clicks,hashtag_clicks,detail_expands,follows,email_tweet,media_views,media_engagements
A descriptive analysis of batting backlift techniques in cricketâ€_ https://t.co/387oOn1C7p @ProfTimNoakes https://t.co/TsNBV1FUAP,2016-03-09 10:40 +0000,9532,339,0.035564415,3,2,10,11,74,0,158,0,2,79,79
Support leg action can contribute to maximal instep â__ï¸è kick performance https://t.co/Kuc2UZAW7P https://t.co/uZHFGiUBOB,2016-03-09 10:32 +0000,5464,221,0.040446559,17,1,20,8,57,0,50,0,0,68,68
Accuracy of three Android-based pedometer applications in laboratory and free-living settings https://t.co/jmrIw6JWzx,2016-03-08 16:38 +0000,3606,137,0.037992235,6,0,9,7,54,0,61,0,0,0,0
Mental fatigue impairs soccer-specific decision-making skill https://t.co/OmonIi6TKX @JSSFootball https://t.co/E46tf6c5QD,2016-03-08 16:32 +0000,6399,211,0.032973902,19,0,21,6,54,0,23,0,1,87,87
The fatigue effect of a simulated futsal match protocol on sprint performance and kinematics of the lower limbs https://t.co/tiPsJQ8y6H,2016-03-08 16:28 +0000,3074,30,0.009759271,0,0,5,1,17,0,6,0,1,0,0
Investigating elementary school childrenâ€™s daily physical activity and sedentary behaviours during weekdays https://t.co/joI6TK1dDb,2016-03-08 16:24 +0000,3751,58,0.015462543,7,0,6,5,27,0,13,0,0,0,0
"Vol 34(12) is now available. Papers on long jump, relative age effect, volleyball, causes of obesity, among others https://t.co/G8uXlQQigX",2016-03-08 16:15 +0000,3182,55,0.017284727,1,0,2,1,34,0,17,0,0,0,0
Validation of a wireless accelerometer network for energy expenditure measurement https://t.co/UkzbOn1QVd https://t.co/GLcujHBWYP,2016-03-06 12:26 +0000,5040,239,0.047420635,10,0,17,7,42,0,61,0,0,102,102
Effect of work:rest cycle duration on VO2 fluctuations during intermittent exercise https://t.co/z91Blofs1B https://t.co/VcgPGPAVT6,2016-03-06 12:20 +0000,4638,199,0.042906425,14,0,17,6,61,0,17,0,0,84,84
Cardiorespiratory fitness in urban adolescent girls: associations with race and pubertal status https://t.co/Z3R83zXYkp,2016-03-06 12:08 +0000,4020,36,0.008955224,3,0,5,3,19,0,6,0,0,0,0
Assessing practice-based influences on adolescent psychosocial development in sportâ€_ https://t.co/lMkeSEql1q,2016-03-06 11:51 +0000,3733,56,0.015001339,4,0,4,3,35,0,10,0,0,0,0
Dominant v. non-dominant shoulder morphology in volleyball players &amp; associations with shoulder pain &amp; spike speed https://t.co/CDFutMbCau,2016-03-06 11:41 +0000,3628,48,0.01323043,1,0,10,1,21,0,15,0,0,0,0
@guagliano13 @ChelsSchlechter @trirosenkranz @healthyepisodes @KStateKines @KStateHE congratulations Chelsey!,2016-03-05 16:35 +0000,293,7,0.023890785,1,0,1,2,0,0,3,0,0,0,0
Our top 5 retweeted papers by @Alan_McCall_ @GregDupontSport @cbalsalobre @acbkiwi @BrettGordonAEP @LyndellBruce https://t.co/KtkW3MRtFw,2016-03-04 13:48 +0000,6654,311,0.046738804,11,0,18,20,21,0,93,0,0,148,148
#JSSAcceptedToday Pre-Cooling Moderately Enhances Visual Discrimination during Exercise in the Heat @Clarke_ND,2016-03-04 13:15 +0000,4206,58,0.013789824,7,0,4,6,0,3,38,0,0,0,0
The evaluation of SSGs as a talent ID tool in highly trained prepubertal soccer players https://t.co/Lyo4ytMrbo https://t.co/G2KChtr4iH,2016-03-04 09:30 +0000,5521,196,0.035500815,12,2,14,4,71,0,17,0,0,76,76
.@MLB pace-of-play rules &amp; their influence on predicted m. fatigue during simulated â__ï¸è games https://t.co/4ErmWOWa0H https://t.co/AHPIHmYYM8,2016-03-04 09:20 +0000,3461,144,0.041606472,1,0,7,3,28,0,41,0,0,64,64
#JSSFree kinematic analysis of the spine during rugby scrummaging on natural/synthetic turfs https://t.co/hFyyYkHFmV https://t.co/UL7QTAqrGd,2016-03-04 09:12 +0000,4326,90,0.020804438,4,1,6,4,25,0,10,0,0,40,40
"Vol 34(11) is now available. Papers on swim coaching, Microsoft Kinect, rugby scrummaging, ski jumping, among others https://t.co/zx7DOltsmd",2016-03-04 09:09 +0000,3026,54,0.01784534,0,0,7,3,34,0,10,0,0,0,0
Effects of HIIT on cardiometabolic risk factors in overweight/obese women https://t.co/Nn1I1UUJef https://t.co/wHbi9aJ0b7,2016-03-03 13:02 +0000,5712,277,0.048494398,14,0,18,8,58,0,45,0,2,132,132
Exploring athletesâ€™ perceptions of coach stress in elite sport environments https://t.co/OsyfxFfTOf @DrJamieBarker @UoPSportScience,2016-03-03 12:58 +0000,5350,132,0.024672897,17,0,11,10,64,0,30,0,0,0,0
"@IanBez not sure exactly, but usually within 4-6 weeks.",2016-03-02 23:44 +0000,309,9,0.029126214,0,1,0,0,0,0,8,0,0,0,0
Growth and maturity status of elite British junior tennis players https://t.co/4sxJ9nySK0 @BritishTennis https://t.co/neUH00SnWc,2016-03-02 11:15 +0000,4678,156,0.033347584,8,0,19,4,35,0,33,0,0,57,57
#JSSAcceptedToday Lane Bias in Elite-level Swimming Competition,2016-03-02 10:45 +0000,3732,31,0.008306538,1,0,3,5,0,5,17,0,0,0,0
#JSSAcceptedToday The use of player physical &amp; technical skill match activity profiles to predict position in the AFL draft @CarlWoods25,2016-03-02 10:39 +0000,5457,77,0.014110317,4,0,5,8,0,2,58,0,0,0,0
Multi-segment trunk models used to investigate the crunch factor in golf... https://t.co/W29JMBi10E https://t.co/jjCwRusqjw,2016-03-02 10:35 +0000,4243,104,0.024510959,4,0,5,3,24,0,22,0,0,46,46
Influence of â__ï¸è timeâ€“motion parameters on recovery...of m. damage/jump ability https://t.co/uGbwAneT2r @JSSFootball https://t.co/iInYMTzQW8,2016-03-02 09:55 +0000,7799,370,0.04744198,17,0,28,12,82,0,71,1,0,159,159
...appendicular skeletal muscle mass is associated with isokinetic m. strength &amp; balance in healthy collegiate men https://t.co/WjuHjiGpbC,2016-03-02 09:24 +0000,3659,33,0.009018858,3,0,3,5,14,0,7,1,0,0,0
Physical activity levels during youth sport practice: does coach training or experience have an influence? https://t.co/k5hr82W6Zl,2016-03-02 09:22 +0000,4642,125,0.026928048,11,0,7,8,51,0,47,1,0,0,0
...joint moments/muscle activation in...squats without/with restricted anterior leg rotation https://t.co/xkPFxqZqRl https://t.co/YQIBZ6SrL6,2016-03-02 09:12 +0000,9472,790,0.083403716,25,1,34,24,222,0,138,1,0,345,345
Identifying profiles of actual and perceived motor competence among adolescents https://t.co/IN55oORaBC,2016-03-01 20:45 +0000,6019,145,0.02409038,15,2,13,11,61,0,43,0,0,0,0
Physiological responses at the lactate-minimum-intensity with/without prior HI exercise https://t.co/wiJGn8mawH https://t.co/iGw3etIC2h,2016-03-01 20:42 +0000,5442,207,0.038037486,12,0,22,3,64,0,16,0,1,89,89
@alicemaybullas congratulations Alice!,2016-02-29 19:02 +0000,174,5,0.028735632,0,0,0,0,0,0,5,0,0,0,0
#JSSFree Nutrition for the sprinter https://t.co/BbVN8wZLLN @stirproftip @Jeukendrup,2016-02-29 12:10 +0000,7455,147,0.01971831,8,0,10,7,86,2,33,1,0,0,0
Downhill walking training with/without EIMD similarly increase knee extensor strength https://t.co/Wxrud4A6VT https://t.co/s5xy7NTbyM,2016-02-27 08:38 +0000,4623,111,0.024010383,7,0,7,4,26,0,27,0,0,40,40
Multivariate analyses of...â__ï¸è skill...utilising evolutionary theory in sports science https://t.co/JaO4V4uxuT @drrobbiewilson,2016-02-27 08:24 +0000,5956,225,0.037777032,12,0,26,15,93,0,78,0,1,0,0
#JSSAcceptedToday Characteristics and experiences of interns in strength and conditioning @j_d_hughes,2016-02-26 16:29 +0000,4585,150,0.032715376,5,4,11,17,0,5,108,0,0,0,0
Analgesics use in competitive triathletes: relationship to doping &amp; on predicting its usage https://t.co/4n8dzWIrIu https://t.co/BZRLDUZhCb,2016-02-26 16:19 +0000,4201,135,0.032135206,8,0,14,3,31,0,17,0,0,62,62
Inter-joint coordination between hips/trunk during downswings: Effects on the clubbed speed https://t.co/S6KqOg9FoL https://t.co/vdmdsdQX89,2016-02-26 16:16 +0000,3682,56,0.015209125,7,0,6,2,11,0,4,0,0,26,26
Changes in muscle activity after performing the @FIFAcom 11+ programme part 2 for 4 weeks https://t.co/tbVw2qk657 https://t.co/w2djni6PlZ,2016-02-26 16:12 +0000,4128,189,0.045784884,9,0,14,4,48,0,27,0,0,87,87
#JSSAcceptedToday Running speed increases plantar load more than percent body weight on an AlterG treadmill,2016-02-26 16:09 +0000,3665,52,0.014188267,2,0,6,4,0,2,38,0,0,0,0
#JSSAcceptedToday The effect of dimple error on the horizontal launch angle and side spin of the golf ball during putting,2016-02-26 16:08 +0000,3225,60,0.018604651,3,0,2,7,0,5,43,0,0,0,0
#JSSAcceptedToday The accuracy of the 24-hour activity recall method for assessing sedentary behaviour,2016-02-26 16:06 +0000,3125,27,0.00864,1,0,2,7,0,2,15,0,0,0,0
#JSSAcceptedToday Executive function deficits in team sport athletes with a history of concussion revealed by a visual-auditory dual task...,2016-02-26 16:04 +0000,3192,34,0.010651629,1,0,2,2,0,3,26,0,0,0,0
Kinematic predictors of wrist shot success in floorball/unihockey https://t.co/TNA8ym0MrF https://t.co/lPFA19IKsD,2016-02-26 16:02 +0000,3375,179,0.053037037,4,0,6,1,36,0,29,1,0,102,102
"Forecheck, backcheck, health check: the benefits of...recreational ice hockey...in Canada https://t.co/SVLmYI0zdt https://t.co/zSVa1rjh5S",2016-02-25 08:55 +0000,4660,86,0.018454936,6,0,10,4,15,0,9,0,0,42,42
#JSSAcceptedToday Muscle co-activation and its influence on running performance and risk of injury in elite Kenyan runners.,2016-02-24 17:23 +0000,3793,86,0.022673346,3,0,6,10,0,9,56,1,1,0,0
Comparison of range of motion tests with throwing kinematics in elite team handball players https://t.co/Dkb9Yv7nD1 https://t.co/6rOq9DQnrM,2016-02-23 15:04 +0000,4117,125,0.030361914,8,0,7,5,33,0,23,0,0,49,49
...the relationship between athlete leadership and cohesion using social network analysis https://t.co/XHSlS6ac5u https://t.co/DQYxdFTuOm,2016-02-23 14:55 +0000,5588,237,0.042412312,15,0,20,4,88,0,26,0,0,84,84
#JSSFree Pre-exercise carbohydrate and fat ingestion: effects on metabolism and performance https://t.co/rnzREjmmIE @JohnAHawley @Jeukendrup,2016-02-22 15:25 +0000,11863,317,0.02672174,24,0,33,19,188,3,49,1,0,0,0
#JSSAcceptedToday What Benefits Does Team Sport Hold for the Workplace? A Systematic Review,2016-02-22 07:46 +0000,4895,112,0.02288049,6,0,7,17,0,8,74,0,0,0,0
#JSSFree Science and cycling: current knowledge and future directions https://t.co/4BetATfMkW @Greg_at_TeesUni @rich_davison @Jeukendrup,2016-02-21 15:15 +0000,13473,411,0.030505455,23,0,23,32,227,2,93,10,1,0,0
"Effects of 6-month soccer &amp; traditional PA programmes on body comp, cardiometabolic risk factors...in obese boys https://t.co/YNkaburuvl",2016-02-19 11:16 +0000,4378,41,0.009365007,6,0,8,4,19,0,4,0,0,0,0
A methodological approach to short-term tracking of youth physical fitness https://t.co/lhT3Wv6AVr https://t.co/SdlijeLaih,2016-02-19 11:10 +0000,4927,135,0.027400041,10,0,13,4,47,0,11,0,0,50,50
Adolescent physical activity levels: discrepancies with accelerometer data https://t.co/qHD5PIxCxi @grantsnz https://t.co/ZtA9764GF9,2016-02-19 11:05 +0000,5334,154,0.028871391,13,0,9,10,39,0,19,0,1,63,63
"#JSSAcceptedToday â€œin-raceâ€ù HR data, elevated fracture risk, hydration, nutritional and lifestyle analysis of elite professional jockeys.",2016-02-18 14:58 +0000,4049,13,0.003210669,1,0,2,4,1,1,4,0,0,0,0
#JSSAcceptedToday The Influence of Golf Shaft Stiffness on Grip and Clubhead Kinematics.,2016-02-18 14:47 +0000,4822,41,0.008502696,3,0,4,12,0,4,18,0,0,0,0
Contrasting effects of a mixed-methods HIIT intervention in girl football players https://t.co/EFL4k79kXT https://t.co/p9pZxR4NZz,2016-02-16 15:05 +0000,5063,322,0.063598657,7,0,11,1,63,0,124,0,0,116,116
Physiological profile of a pro boxer preparing for Title Bout: A case study https://t.co/TZsoDIQ2Xr @Ausport https://t.co/7NcyDnUPVd,2016-02-16 14:28 +0000,4456,245,0.054982047,6,0,4,9,62,0,75,0,0,89,89
Muscle coordination during breaststroke _Ÿè__Ÿè_: Comparison between elite and beginners https://t.co/GEIAbPeuK7 https://t.co/MIU7m8vfy7,2016-02-16 14:22 +0000,5696,214,0.037570225,18,0,20,8,41,0,16,0,0,111,111
"Vol 34(10) is now available. Papers on coaching practice, golf, human spleen, shoulder pain, massage, among others https://t.co/SsIWiiCkqA",2016-02-16 11:14 +0000,4442,111,0.024988744,6,0,4,4,75,0,22,0,0,0,0
Optimising PA engagement during youth sport: a self-determination theory approach https://t.co/CmyfquPFL8 @JoanDuda https://t.co/7gOmR0yylj,2016-02-14 17:14 +0000,8751,481,0.054965147,24,1,34,12,101,0,75,0,0,234,234
The application of a multi-dimensional assessment approach to talent ID in _Ÿ‡__Ÿ‡º football https://t.co/c0LobtrbMx https://t.co/nmMcvFFY13,2016-02-11 12:45 +0000,8402,451,0.053677696,14,0,27,16,81,0,151,1,1,160,160
"#JSSAcceptedToday Exploring athletesâ€™ perceptions of coach stress in elite sport environments, by Dr Richard Thelwell @UoPSportScience",2016-02-11 11:42 +0000,5662,132,0.023313317,10,1,13,26,0,12,70,0,0,0,0
A very special thanks to all those who've reviewed papers for us over the last 12 months _Ÿ‘è_Ÿè_@tandfsport #PeerReview https://t.co/WNjAWLaVB7,2016-02-10 17:20 +0000,7114,146,0.020522913,9,1,11,6,90,2,27,0,0,0,0
"Vol 34(9) is now available. Papers on coaching, fencing, baseball, swimming, wheelchair basketball, among others https://t.co/OYq0zhGWmL",2016-02-10 15:58 +0000,4056,85,0.020956607,2,0,3,0,68,0,12,0,0,0,0
The effects of goal variation on adult physical activity behaviour https://t.co/ffHajzmIxr https://t.co/cVWGooD5aT,2016-02-10 14:31 +0000,4157,116,0.027904739,1,0,4,3,31,0,28,0,0,49,49
The effects of physical contact type on the int/ext demands during a rugby league match simulation https://t.co/ehdu7YZytK @craig_twist,2016-02-10 14:28 +0000,4927,74,0.015019282,10,0,9,5,36,0,14,0,0,0,0
#JSSAcceptedToday Cardiorespiratory fitness in urban adolescent girls: associations with race and pubertal status.,2016-02-09 19:56 +0000,4298,23,0.005351326,3,0,1,4,0,2,13,0,0,0,0
Validity of SenseWearÂ® Armband v5.2 and v2.2 for estimating energy expenditure https://t.co/fT79epFxLu https://t.co/1E1xzftSum,2016-02-09 16:24 +0000,4159,120,0.02885309,5,0,8,3,30,0,19,0,1,54,54
...pacing strategies of elite able-bodied _Ÿè__Ÿè_/_Ÿè__Ÿè_ with disability at...international champs https://t.co/l0QmZVJyxP https://t.co/qDa6ppcGMn,2016-02-09 16:15 +0000,8761,178,0.020317315,9,0,9,8,55,0,28,0,0,69,69
"Association of physical activity with risk of metabolic syndrome:...a cross-sectional study...in Nantong, China https://t.co/KxvMz25Se7",2016-02-08 12:22 +0000,4003,38,0.00949288,2,0,1,9,18,0,8,0,0,0,0
Effects of 12 weeks of combined training without caloric restriction on inflammatory markers in overweight girls https://t.co/OHG06Sz3Hi,2016-02-08 12:18 +0000,3719,50,0.013444474,6,0,2,0,33,0,9,0,0,0,0
Low energy availability in exercising men is associated with reduced leptin and insulin but not...other...hormones https://t.co/53YZmzjHs6,2016-02-08 11:49 +0000,4557,63,0.013824885,5,0,7,4,40,0,7,0,0,0,0
The within-participant correlation between RPE/HR-based estimations of training load in elite soccer https://t.co/JVlhKBlqc6 @JSSFootball,2016-02-08 11:38 +0000,8293,244,0.029422404,20,0,23,16,141,0,43,0,1,0,0
"Effects on muscle strength, max jump height, flexibility, and postural sway after soccer and Zumba: a 9-month RCT https://t.co/SZ1MtaCcf3",2016-02-06 11:32 +0000,4218,82,0.019440493,3,0,10,1,49,0,19,0,0,0,0
"#JSSFree Ventilation and blood lactate increase exponentially during incremental exercise, by @ProfTimNoakes https://t.co/Ja5oCgSbGp",2016-02-05 14:32 +0000,4405,270,0.061293984,3,0,9,13,132,1,111,0,1,0,0
#JSSAcceptedToday Reference values for the Incremental Shuttle-Walk Test in patients with CV disease entering exercise-based rehabilitation.,2016-02-04 18:47 +0000,4452,29,0.006513926,3,0,3,6,0,6,11,0,0,0,0
Identifying waking time in 24-h accelerometry data in adults using an automated algorithm https://t.co/wXZVJ8J5K4 https://t.co/5R52bH6lhh,2016-02-03 12:18 +0000,4755,108,0.022712934,7,0,3,8,25,0,10,0,0,55,55
#JSSAcceptedToday Physiological responses at the lactate minimum intensity with and without prior high-intensity exercise.,2016-02-02 14:14 +0000,4283,60,0.014008872,5,0,7,6,0,10,31,0,0,0,0
#JSSAcceptedToday Validation of a wireless accelerometer network for energy expenditure measurement in a semi-structured setting.,2016-02-02 14:13 +0000,4177,34,0.008139813,2,0,5,2,0,6,19,0,0,0,0
"Letter to the ed. by @DaveGM4P on Abdollahipour, Wulf, Psotta &amp; Nieto (2015) https://t.co/KHMPSyNnRt + author reply https://t.co/IrOMg377nC",2016-02-01 14:23 +0000,5434,186,0.034228929,9,0,3,13,107,0,54,0,0,0,0
The effect of elbow hyperextension on ball speed in cricket fast bowling https://t.co/XN2FgUIgqC https://t.co/R7iQ2YCy6W,2016-02-01 14:16 +0000,4901,132,0.026933279,11,0,6,8,34,0,38,0,0,35,35
#JSSAcceptedToday Adolescent physical activity levels: Discrepancies with accelerometer data analysis.,2016-01-28 17:24 +0000,5865,89,0.015174766,7,0,8,13,0,19,41,1,0,0,0
#JSSAcceptedToday The evaluation of small-sided games as a talent identification tool in highly trained pre-pubertal soccer players.,2016-01-28 17:22 +0000,4882,102,0.020893077,7,0,19,5,0,17,54,0,0,0,0
#JSSAcceptedToday Effects of high-intensity interval training on cardiometabolic risk factors in overweight/obese women.,2016-01-28 17:21 +0000,4011,43,0.010720519,1,0,6,5,0,7,24,0,0,0,0
Quantitative assessment of developmental levels in overarm throwing using wearable...tech https://t.co/IPyhNRqRO0 https://t.co/SQJ1ohofg5,2016-01-28 15:56 +0000,4820,256,0.053112033,8,0,11,5,71,0,36,0,1,124,124
#JSSAcceptedToday Multivariate analyses of...variation in â__ï¸è skill as a tool for talent ID: utilizing evolutionary theory @drrobbiewilson,2016-01-27 10:29 +0000,5560,105,0.018884892,5,0,8,23,0,13,56,0,0,0,0
"Vol 34(8) now available. Papers on plyometric training, attitudes to doping, cricket, golf, tennis (among others) https://t.co/X4TFVNiu7G",2016-01-26 13:34 +0000,5971,148,0.024786468,10,0,15,6,95,0,21,0,1,0,0
Vol 34(7) is now available. Papers by @Robertson_SJ @JonBartlett66 @tom85kempton @AaronJCoutts et al https://t.co/b9MWSlHOKq,2016-01-26 12:09 +0000,6424,244,0.037982565,6,1,5,28,148,0,56,0,0,0,0
Segment coupling/coordination variability...of the roundhouse kick in taekwondo relative to initial stance position https://t.co/xyExOaeDGH,2016-01-25 14:50 +0000,4273,47,0.010999298,2,0,2,6,23,0,13,1,0,0,0
Effects of strengthening/stretching exercise programmes on kinematics/kinetics of running in older adults: an RCT https://t.co/FtA29NqAnm,2016-01-25 14:44 +0000,5346,101,0.01889263,13,0,12,5,54,0,17,0,0,0,0
#JSSFree Warm-up strategies of pro soccer players https://t.co/zBhvo8l30H @ChrisPTowlson @AdrianMidgley @ric_lovell https://t.co/JrO6wVxvcf,2016-01-23 10:55 +0000,9267,430,0.046401209,17,0,32,15,103,1,59,3,0,200,200
A descriptive-comparative study of performance characteristics in futsal players... https://t.co/Iozy0HLRd0 https://t.co/47A9czHfPj,2016-01-22 16:36 +0000,4960,157,0.031653226,7,0,11,3,46,0,7,0,0,83,83
Explicit and implicit motor learning in youth elite and non-elite soccer players https://t.co/s53hXrFglV https://t.co/Sy1jRWkdfh,2016-01-21 10:38 +0000,9835,274,0.027859685,24,0,22,7,78,0,55,0,1,87,87
Association of physical fitness &amp; fatness with cognitive function in women with fibromyalgia https://t.co/PPXrqprDwI https://t.co/nuxxqNkieG,2016-01-20 10:38 +0000,5752,137,0.023817803,8,1,13,7,32,0,13,0,0,63,63
#JSSFree Quantifying the nature of anticipation in professional tennis https://t.co/Y7eann5Yuu,2016-01-19 13:41 +0000,3921,57,0.014537108,1,1,4,4,31,0,16,0,0,1,0
Latest @JSSFootball now available. Papers by @carling_chris @Jaime__Sampaio @TimGabbett @MWeston73 @WinterEdward https://t.co/0zmEufA1or,2016-01-18 12:45 +0000,10407,362,0.03478428,20,0,26,32,173,0,109,1,1,0,0
RPE in maximal incremental tests during head-out water-based aerobic exercises https://t.co/kEwuXkkhhp https://t.co/J7tgPOCxdy,2016-01-15 13:39 +0000,4984,113,0.022672552,7,0,4,3,15,0,13,0,0,69,69
The prevalence and severity of injuries in field hockey drag flickers https://t.co/qATdnNdokr https://t.co/z8UrtBXX12,2016-01-15 13:32 +0000,4961,106,0.02136666,4,0,5,6,16,0,27,0,0,48,48
Strapping rowers to their...seat â¬†ï¸è performance during the start of single-scull rowing https://t.co/FQljOztcbO https://t.co/SPgetjJMHw,2016-01-13 17:28 +0000,4918,211,0.042903619,10,1,3,6,45,0,47,0,0,99,99
Timescales for exploratory tactical behaviour in football small-sided games https://t.co/Zcyg3lVdpD @Jaime__Sampaio https://t.co/lBjyEky1fu,2016-01-13 17:22 +0000,5682,245,0.04311862,17,0,20,12,50,0,46,0,1,99,99
Indices of cognitive function measured in rugby union players using a _Ÿ’»-based test battery https://t.co/M5Rk2lBlft https://t.co/JOmJNkxc65,2016-01-13 16:52 +0000,4801,117,0.024369923,5,0,9,1,45,0,19,0,0,38,38
"@Jauma_Fernandez Jaime, we agree that consistency in reviewing/editing is desirable. We just disagree with you on how easy it is to achieve.",2016-01-13 16:35 +0000,442,10,0.022624434,0,1,0,0,0,0,9,0,0,0,0
Coordination pattern of â__ï¸è pitching among young pitchers of various ages &amp; velocity levels https://t.co/wAkeUR57OJ https://t.co/EfVeqD9osd,2016-01-13 14:57 +0000,4923,342,0.069469835,8,0,20,14,71,0,164,0,0,65,65
@Jauma_Fernandez if referring to @WinterEdward he wouldn't have handled the Loturco paper. It was published in @JSSFootball - different eds.,2016-01-13 14:52 +0000,455,37,0.081318681,0,1,0,4,0,0,32,0,0,0,0
@Jauma_Fernandez Your example compared 2 papers in 2 journals. That's 2 sets of editors; 2 sets of reviewers. More people = more variability,2016-01-13 13:51 +0000,502,18,0.035856574,0,2,1,0,0,0,15,0,0,0,0
"@Jauma_Fernandez We agree, &amp; we try to be consistent at JSS. In fact we discussed this extensively at our Editorial Board meeting yesterday.",2016-01-13 13:48 +0000,292,6,0.020547945,0,0,1,0,0,0,5,0,0,0,0
"@Jauma_Fernandez Hi Jaime. There's always differences between reviews whenever humans are involved. Reviewing is judgement, not measurement.",2016-01-13 13:30 +0000,379,12,0.031662269,0,1,1,3,0,0,7,0,0,0,0
